etat,marque,annee,boite_vitesse,adresse,prix,image_link-src
Venant,Hyundai,2018,Automatique,Plateau,13000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4831c0099243c63d9a9e8883d70226ac/-/horizon-files-prod/ed/picture/qwe2d7nk/f9e7798b472a4c4eb585c452a6f15e8009319898.jpg
Venant,Range Rover,2017,Automatique,Plateau,14500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c31cb4e5c61254187c9a113d0608926/-/horizon-files-prod/ed/picture/qq47pp2k/25c63cb6e83c50dc6112d82f1fcdd7cd5e5fd070.jpg
Venant,GMC,2016,Automatique,VDN,12500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d0af6e9e02e987c4cd3055f90bb7466/-/horizon-files-prod/ed/picture/q6xk00qn/965969ce46cf503c7ee34305ed3031a624a9c38f.jpg
Venant,Ford,2017,Automatique,Rufisque,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e51723145f7360f4a306c0e364865c83/-/horizon-files-prod/ed/picture/qzvp2drd/83e730ce8cf1500d32888082dce033fc610875de.jpg
Venant,Ford,2016,Automatique,Nord foire,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9553f48b80b164bb1918a71225a7ad1/-/horizon-files-prod/ed/picture/qxj25r2v/f6ca5bff3a973b830b0cdc85e558d7b93f7bd390.jpg
Venant,Peugeot,2016,Automatique,Ouest foire,7100000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2909830d3b58d52d53e2c1a95db54a67/-/horizon-files-prod/ed/picture/qv4wmdmv/2effd2efa0ff3fdc839f11c63c50540ac3fdf7d2.jpg
Venant,Citroen,2018,Manuelle,Plateau,6200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f3834150d4b73b849775b976f66bf243/-/horizon-files-prod/ed/picture/qrz82rkm/ac0d4efaa88b75d7e6a239b100dc7f06a30b2c1d.jpg
D'occasion,Nissan,2013,Automatique,Liberte 6,2800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7cf40eab9c2c64e1a794cbc3ddf54b00/-/horizon-files-prod/ed/picture/qzvdvjm8/7e79e47720c51fd779328a4aa1fa5f7456b82457.jpg
Venant,Mercedes-Benz,2015,Automatique,Sacré-cœur,10900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93a36cf4b651017cffa26a5eb18728e6/-/horizon-files-prod/ed/picture/qd5j420/30f32691306ca81bf34a1208ae19af2aedc27c05.jpg
Neuf,Renault,2018,Automatique,Nord foire,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a2e8e14d86787de2fb62048c83f422b/-/horizon-files-prod/ed/picture/q56dwmeg/6c870f68a3c5b92ffcec5083f0daaed0f0a9bf2f.jpg
